hipodrom_key,cins_detay,son20,ganyan,sicaklik,nem,kum_pist_agirlik,yaris_kosu_key,en_iyi_derece,son6,cim_pist_agirlik,kum,tarih,son800,kilo,sahip_kodu,antrenor_adi,derece,gece,hava_durumu,cim,mesafe,grup,start,antrenor_kodu,en_iyi_derece_farkli_hipodrom,saat,yas,apranti_kilo_indirimi,sahip_adi,kosmaz,yetistirici_adi,fark,agf1,at_sayisi,at_adi,jokey_adi,agf2,kosu_kodu,pist,fazla_kilo,taki,sonuc,gec_cikis_boy,agf1_sira,agf2_sira,yaris_key,no,at_key,jokey_kodu,handikap,kgs
ANKARA,ŞARTLI 1,20,"3,10",14,78,0,b87ba3668a245fdbda53d65a12083866,,,4.1,Nemli,19/04/2025,0.45.92,57,3815,İSMET AKKILIÇ,0.55.79,false,Hafif Yağmurlu,Çok Yumuşak,900,2 Yaşlı İngilizler,4,1582,false,15:00,2y d  e,0,SALİH YILDIZER,false,BERKE KURTULUŞ,,19.18,11,BİZON,GÖKHAN KOCAKAYA,19.13,216540,cim,0,DB SK,7,,2,2,c96704bc5e086735e3f7d937a7df7d97,1,aa3844814df89439316347176305c015,864,,
SANLIURFA,KV-8,18,"9,55",25,22,0,3021e614175c70cc66440b8fe8b12a2a,,K6K1K5K1K2K5,0,Normal,07/04/2025,0.53.76-0.54.24,56,8761,AHMET AKBABA,2.21.40,true,Çok Bulutlu,,1900,3 Yaşlı İngilizler,6,2972,false,20:00,3y d  d,0,MUHAMMET FELHAN,false,DİKİLİTAŞ TAR.ÜR.HAYV.TURZ.İNŞ.SAN.TİC.LTD.ŞTİ.,,5.05,9,BLUE QUEEN,İSA KATAR,<nil>,216197,kum,1.3,KG SK,9,,6,<nil>,f9b7c2bd169f6a012ed72751db61d2d1,9,a0005c2cf589dde3e4b07119168f1e43,1504,66,7
ELAZIG,Handikap 15,18,"12,15",8,88,0,d2f469158ee0fc0f447e81c46203c1dc,,K4K8K3K1K9K4,0,Sulu,15/04/2025,1.05.84,52,6983,FURKAN YALÇINKAYA,2.38.84,true,Çok Bulutlu,,2000,4 Yaşlı Araplar,1,2974,false,18:30,4y a  a,0,İLHAN KAPUSIZ,false,BEHİYE KARACA,14 Boy,7.17,5,BIÇKIN KRAL,NECMİ ALTIN,<nil>,216415,kum,2,KG K,3,,5,<nil>,0ae9ab1cd3d68e342f079e3a63d8eccf,4,23cc7bb7200978acf5471f92ad2bc933,540,38,108
ELAZIG,ŞARTLI 2,13,"4,90",8,88,0,43ff4de06c0f10c7a56ea82139d1f76d,,K3C6K0K0K4K7,0,Sulu,15/04/2025,0.59.04-1.00.32,54.5,3489,ZEKERİYA AKDEMİR,1.30.18,true,Çok Bulutlu,,1200,4 ve Yukarı Araplar,3,2867,false,21:00,5y a  a,2,MAHMUT KARAKEÇİ,false,VEHBİ HAKAN KELEŞ,,<nil>,7,HUSREV,YUNUS ÇELİKBAŞ,8.12,216417,kum,2,KG SK,5,2 Boy,<nil>,4,0ae9ab1cd3d68e342f079e3a63d8eccf,4,6707e7d5aa695d55bd3eb4a25eef23d4,2716,67,15
ADANA,Maiden,19,"5,70",22,46,0,9d291e31add49bd4757eede85d5e673e,1.33.13,K8K7K2C2,3.3,Normal,08/04/2025,0.52.72,58,16514,EMİN KARATAŞ,1.30.74,false,Çok Bulutlu,Normal,1400,3 Yaşlı İngilizler,9,1503,false,14:00,3y d  d,0,SEDAT YILDIRIM,false,OZAN BİNGÖL YURTSEVER,"2,5 Boy",14.43,10,ALLY SUE,MEHMET NURİ SUNKAR,<nil>,216213,kum,0,DB SK,2,,3,<nil>,91f0a5dceddfcaf8ac08fb36718f533a,8,d4fc1cf04e4dd5305cb11f7d50741d87,2883,36,10
ADANA,ŞARTLI 5,15,"38,95",22,46,0,52738cb7b2fbee056ec422aab1d4ac25,,K1K3K3K4C9K7,3.3,Normal,08/04/2025,0.51.10-0.51.37,54,4106,SAVAŞ GÜRKAN,1.23.38,false,Çok Bulutlu,Normal,1300,3 Yaşlı İngilizler,2,2738,false,15:00,3y d  e,0,ASIM DUTAL,false,ASIM DUTAL,3 Boy,0.93,7,TURBO FANI,MÜCAHİT BAYIR,<nil>,216221,kum,0,KG DB SK,3,,6,<nil>,91f0a5dceddfcaf8ac08fb36718f533a,6,77ad0ed0432717969fa0b03e0beb521b,450,41,23
ADANA,Handikap 15,20,"6,60",22,46,0,dfcb570b1be4bc0ea6c9d34561bb3e40,1.52.29,K8K7K7C1,3.3,Normal,08/04/2025,0.47.16-0.48.65,50.5,595,İLKER KÖROĞLU,1.50.02,false,Çok Bulutlu,Normal,1800,3 Yaşlı İngilizler,13,1684,false,18:00,3y d  e,0,BEYHAN HADİOĞLU,false,BEYHAN HADİOĞLU,"1,5  Boy",<nil>,14,BALDWIN,MERT ALİ SOLMAZ,11.07,216224,cim,1.5,SK DS,2,,<nil>,4,91f0a5dceddfcaf8ac08fb36718f533a,12,992aa4602c522a83fde137c1d569b6a4,1503,38,30
ELAZIG,Handikap 14,16,"13,70",20,45,0,216bad16b5ee600e1889f6cf7080cfb4,2.02.31,K3K1K9K4K3K5,0,Sulu,14/05/2025,0.59.36-1.06.04,57.5,6983,ENVER KOÇAK,2.03.69,true,Çok Bulutlu,,1600,4 Yaşlı Araplar,5,292,false,19:30,4y a  a,0,İLHAN KAPUSIZ,false,BEHİYE KARACA,,7.40,14,BIÇKIN KRAL,MEHMET TAŞKAYA,7.45,217150,kum,0.5,KG K,6,4 Boy,6,6,3391367c6707f610004ce9396bc42c36,5,23cc7bb7200978acf5471f92ad2bc933,522,38,15
ISTANBUL,ŞARTLI 1,20,"13,40",16,44,0,9957c083160b9d9b12fca776f4f1bba0,,,3.3,Normal,16/04/2025,0.50.84-0.51.40,57,8376,MAHMUT BAYKARA,1.13.04,false,Açık,Normal,1000,3 Yaşlı Araplar,5,682,false,15:30,3y k  e,0,ULAŞ YILDIZ,false,HATİCE OLGUN,,7.05,12,OLGUN VEDAT,HIŞMAN ÇİZİK,7.23,216464,sentetik,0.2,,12,,5,5,1e4d3036f0a83649b7169c7a2cb98302,10,4faec1dc4bd77b690e4ee339836bbafb,1548,,
ISTANBUL,KV-8,19,"24,80",16,44,0,34a9d55c5cfe078db93b7e6a7e93525b,,K1K6K2K4K2K2,3.3,Normal,16/04/2025,0.46.61-0.46.86,58,784,FERDİ KIRAN,1.23.04,false,Açık,Normal,1400,3 Yaşlı İngilizler,3,2652,false,17:00,3y d  e,0,ERAY HAZAR,false,ERAY HAZAR,"3,5 Boy",<nil>,6,FLASH OVER,MUSTAFA ÇİÇEK,1.30,216467,cim,0,DB SK,4,,<nil>,5,1e4d3036f0a83649b7169c7a2cb98302,4,44e33692ad99faab4cd50c4ac02d580a,1344,55,15
ADANA,Handikap 16,17,"2,80",22,52,0,36b2808616d8d956a6ffab2071df0d18,2.06.75,K1K3K4K4K2K4,3.3,Normal,06/04/2025,0.53.49-0.54.68,55,13813,ŞAHİN İPEK,2.05.61,false,Çok Bulutlu,Normal,1900,4 ve Yukarı İngilizler,7,467,false,15:30,4y d  a,0,EMRAH İPEK,false,AHMET GÜNER,3 Boy,20.94,10,HANDSOME LAKE,AYHAN KURŞUN,23.22,216179,kum,2,DB SKG SK,4,,1,1,3ff35ccc4d48ce9e1c56dd7b1ca204bf,6,03e8bced933090c83d69b3e70f10fae8,889,59,26
ANKARA,Handikap 15,18,"4,65",19,34,0,4a95a47af83013bd2529836c029e4323,,K2K3K1K1K6K5,3.3,Normal,13/05/2025,0.59.46-0.59.58,58.5,19345,FERDİ KİP,2.38.11,false,Parçalı Bulutlu,Normal,2100,4 Yaşlı Araplar,6,1559,false,14:00,4y k k,2,BARIŞ TİNİZ,false,ANADOLU TARIM İŞLETMELERİ,Yarım Boy,16.67,9,ARASLI TORUNU,FATİH SULTAN MEHMET SANSAR,<nil>,217130,kum,0,DB SKG SK,3,2 Boy,3,<nil>,72d01f246af6c3d193c1d5c5a81a623c,2,3090b6e45312faf18e4f091550a6a794,2981,49,10
SANLIURFA,Maiden,20,"36,25",14,49,0,23617ddda03fb51be5e2dd37703bf511,,,0,Normal,14/04/2025,0.57.40-0.57.80,55,13640,TURĞUT ÇİZİK,1.14.22,true,Çok Bulutlu,,1000,3 Yaşlı Araplar,7,2859,false,17:15,3y k  d,0,MEHMET TAHİR AKIL,false,İBRAHİM AKIL,,1.66,15,EBİŞİM,BURAK BEKTAŞ,<nil>,216392,kum,2,KG K,6,,11,<nil>,b983f92911e49d9072188691015fd86b,10,84589344ee638a206649616f46a429f0,1459,,
ANKARA,Handikap 16,17,"6,05",20,39,0,f8349573475f6e5e2b7df12cf9c0544c,1.18.19,K3K4K4K2K4K4,3.3,Normal,17/04/2025,0.48.84-0.49.43,56,13813,MEHMET İPEK,1.17.38,false,Açık,Normal,1200,3 ve Yukarı İngilizler,4,2960,true,14:30,4y d  a,0,EMRAH İPEK,false,AHMET GÜNER,,17.65,8,HANDSOME LAKE,AYHAN KURŞUN,<nil>,216488,kum,0.9,DB SKG SK,6,,2,<nil>,4e79a394f4df5396b624e12125e3eb33,6,03e8bced933090c83d69b3e70f10fae8,889,59,11
