saat,cins_detay,at_adi,jokey_adi,sahip_kodu,en_iyi_derece_farkli_hipodrom,agf1_sira,yaris_key,kum,mesafe,grup,ganyan,yetistirici_adi,agf1,nem,kosu_kodu,no,fazla_kilo,jokey_kodu,derece,yaris_kosu_key,start,apranti_kilo_indirimi,taki,fark,son6,hipodrom_key,tarih,pist,at_sayisi,son20,kosmaz,agf2,son800,antrenor_adi,antrenor_kodu,gece,hava_durumu,sicaklik,yas,kilo,handikap,kgs,en_iyi_derece,cim,cim_pist_agirlik,kum_pist_agirlik,at_key,sahip_adi,sonuc,gec_cikis_boy,agf2_sira
17:00,ŞARTLI 5,PRINCESS QALİ,FATİH SULTAN MEHMET SANSAR,15863,false,7,11187a732d9c4e67c056070f0f96bafd,Normal,1300,2 Yaşlı İngilizler,"31,70",AYTEKİN ŞEN,1.07,53,214186,8,0.9,2981,1.23.30,91b50f911066ca94ab3be2c5b1f24133,8,1,KG DB SK,"1,5  Boy",C9K1K8,ADANA,10/12/2024,kum,8,19,false,<nil>,0.50.72-0.51.84,SEİT KAN,1259,false,Az Bulutlu,20,2y d  d,53,38,16,,,0,0,ecb6004bab17c919ee64124ae2172b07,AYTEKİN ŞEN,2,,<nil>
15:30,KV-7,RUN FOR HAPPINESS,ALİ YILDIZ,19319,true,5,689193b27d15f3df753ae215730e6aaa,Normal,1900,3 ve Yukarı İngilizler,"8,35",GÜLNUR GÜLERCE,8.38,57,214169,4,0,2869,2.08.36,9ed0b6c95b39f69a07de87e1a1d37db1,2,0,KG DB SK,,K5C4K7C5K5K2,BURSA,09/12/2024,kum,9,16,false,7.16,0.52.60-0.54.24,GÜRCAN TURAN,2382,false,Çok Bulutlu,20,5y d  a,62,84,14,2.03.51,,0,0,dd9c78de488c7b9c15c612436cff245b,AYLA KOZAN,7,,6
16:15,Handikap 16,TUMBUL NAZLI,MEHMET NURİ SUNKAR,2206,true,6,c6dc2d7307905c5d011c56a81715c9d0,Normal,1200,4 Yaşlı Araplar,"11,40",REŞİT TUMBUL,6.89,39,214134,6,0,2883,1.24.11,03e455cc50bc4f28ed13fff84e2a23d4,3,2,KG SK,Yarım Boy,K1K4K0K1K4K3,ADANA,07/12/2024,kum,10,18,false,<nil>,0.56.04-0.56.28,SALİH BECENE,2965,true,Çok Bulutlu,20,4y k k,56.5,66,6,1.23.57,,0,0,9d92c1dac302e5c39c7e74f428c88f77,REŞİT TUMBUL,1,,<nil>
18:00,Handikap 17,IRMAK SU,İSMAİL YILDIRIM,1077,true,9,c6dc2d7307905c5d011c56a81715c9d0,Normal,2100,4 ve Yukarı Araplar,"8,20",HASAN BASRİ TÜMÖZ,6.49,39,214138,5,0,2703,2.33.73,5bc060338bd811143dd046a45abd5412,11,2,KG DB SK GKR DS,Burun,K1C7K5K0C7K4,ADANA,07/12/2024,kum,11,15,false,6.82,0.57.76-0.58.72,SAVAŞ DEMİR,2425,true,Çok Bulutlu,20,4y k k,57.5,78,18,2.33.78,,0,0,5397077d0ec13595106c209e2ae207cb,HASAN BASRİ TÜMÖZ,3,,9
21:30,KV-6,OYAZADE,CEM ALTUN,16909,false,9,98e97ff17c2670323c83360f1dc38c3a,Normal,1400,3 Yaşlı Araplar,"22,15",FEME HAY.TAR.LTD.ŞTİ.,2.07,71,214089,7,0.1,2489,1.43.12,c910d4efae707775a0d37059b5139efb,2,0,KG SK GKR,,K4K2K5K3C1K5,KOCAELI,05/12/2024,kum,10,19,false,<nil>,0.58.32-0.57.40,UBEYDULLAH DEMİR,3008,true,Çok Bulutlu,13,3y d  d,55,38,7,1.39.10,,0,0,34ba653cda5cc377263fbb1acf6846bf,SEÇKİN TOYDEMİR,10,,<nil>
17:30,Handikap 15,HEARTED,AHMET ÇELİK,20438,false,1,5810be4b7ed75546b03ae2381ec8e2ad,Normal,1300,2 Yaşlı İngilizler,"1,40",MEHMET EMİN AKYOL,54.94,33,214058,3,0,107,1.22.41,a90eb0ac5d2af1bdc692292922237e58,2,0,K SKG,Yarım Boy,C2C3K1,ADANA,03/12/2024,kum,9,20,false,<nil>,0.51.52-0.51.96,HÜSEYİN TEKİNALP,3035,false,Az Bulutlu,18,2y d  e,56,46,16,1.21.97,,0,0,4c26d6f1a89f921f44775d0d45145747,REMZİYE DENİZ,1,,<nil>
16:00,KV-9,FINALE DUTY,MEHMET KAYA,19609,false,7,26c53e9e29edf6bb6a5f3d69e0f3456b,Normal,1400,3 ve Yukarı İngilizler,"14,40",ALP ŞEMSETTİN EVCİMEN,3.81,49,213997,6,0,483,1.24.40,04a3c052435343d73029a5032ac0e735,2,0,KG DB SK,,C8C8C2C1C1C5,ISTANBUL,30/11/2024,sentetik,7,19,false,<nil>,0.47.36-0.46.76,AHMET İPEK,2659,false,Açık,14,4y d k,58,91,16,,,0,0,3f477f34ecbe6a14d5fd11a48dc73bb5,AKIN ÖZTÜRK,5,,<nil>
16:30,Handikap 17,RUN FOR HAPPINESS,İBRAHİM SEFA SÖĞÜT,19319,false,<nil>,d414a8374c1e7ce760a2cf7b78b24b76,Normal,2100,3 ve Yukarı İngilizler,"7,75",GÜLNUR GÜLERCE,<nil>,71,213921,1,0,2702,2.14.85,ab3ebb659b4522f8a8b687d093f43263,5,2,KG DB SK,At Başı,K5K5C4K7C5K5,BURSA,25/11/2024,kum,6,16,false,8.25,0.52.36,GÜRCAN TURAN,2382,false,Açık,6,5y d  a,61,83,10,2.15.37,,0,0,dd9c78de488c7b9c15c612436cff245b,AYLA KOZAN,2,,5
18:30,ŞARTLI 4,NİRENGİ,ERTUĞRUL CANKILIÇ,2512,false,<nil>,3c0a0837bccbb96199e32f08ac69fc90,Sulu,1900,4 Yaşlı Araplar,"2,05",TAYRAL TUTUMLU,<nil>,43,213897,2,0,3045,2.21.66,87d26203a0969d7aa868069a06cdb2e7,2,4,DB,6 Boy,C6C1C6K3C2C4,ADANA,24/11/2024,kum,6,16,false,<nil>,1.04.72-1.05.32,ŞEFİK AYDEMİR,478,true,Çok Bulutlu,13,4y d k,57,61,14,,,0,0,5017979dae37639a5769369553310a88,TAYRAL TUTUMLU,1,,<nil>
18:30,Maiden,HEARTED,SALİH ÇELİK,20438,true,1,a9b332f902d9ed75a93bb2025c55da84,Islak,1300,2 Yaşlı İngilizler,"2,35",MEHMET EMİN AKYOL,36.92,92,213757,4,1.6,3070,1.21.97,3f9a3cef3241587b2b43be6231b854ee,4,3,K SKG,12 Boy,C2C3,ADANA,17/11/2024,kum,9,18,false,<nil>,0.51.12,HÜSEYİN TEKİNALP,3035,true,Gökgürültülü Sağanak Yağışlı,16,2y d  e,54,,17,1.17.25,Çok Ağır,5.8,0,4c26d6f1a89f921f44775d0d45145747,REMZİYE DENİZ,1,,<nil>
16:00,Handikap 17,BOUCHERON,AHMET ÇELİK,13102,false,<nil>,89ebafc7b1381f9172768fbf1de4f0c9,Normal,1900,3 Yaşlı İngilizler,"12,25",OĞUZ YALÇIN,<nil>,83,213747,3,0.3,107,1.57.43,0621f97509efe93f19a2a7c6a1cc4efe,3,0,DB SKG SK,Yarım Boy,C1C5C6C3C5C6,ANKARA,16/11/2024,cim,6,15,false,8.52,0.48.20-0.48.96,SAVAŞ DEMİR,2425,false,Çok Bulutlu,10,3y d  e,57,77,4,1.57.51,Çok Yumuşak,4,0,88ef8740f51f08a305d967877e6102b6,ÖMERCAN EROĞLU,1,,5
16:00,Handikap 17,FAST PILOT,GÖKHAN KOCAKAYA,15181,false,<nil>,89ebafc7b1381f9172768fbf1de4f0c9,Normal,1900,3 Yaşlı İngilizler,"3,05",TAYLAN ARSLAN,<nil>,83,213747,5,0.5,864,1.57.81,0621f97509efe93f19a2a7c6a1cc4efe,6,0,DB SK DS,Boyun,C5C3C2C3C3C1,ANKARA,16/11/2024,cim,6,20,false,30.63,0.48.20-0.48.96,BURÇİN ARSLAN,2727,false,Çok Bulutlu,10,3y a  e,55,73,16,1.56.77,Çok Yumuşak,4,0,40a0c9e84871a14a62220eb2da9eed21,SAİT ÖZTÜRK,3,,1
15:30,KV-7,RAYMOND REDDINGTON,ERCAN ÇANKAYA,16738,true,8,9e9680e8baca351abf342d22712e53e0,Normal,1200,3 ve Yukarı İngilizler,"25,45",CAN TARHANACI,3.75,63,213691,3,0,2493,1.09.11,6d473e620cf5dc46874d10a2f8b9ab6f,2,0,DB SK,"2,5 Boy",C1C1C5C4C1C3,ANKARA,14/11/2024,cim,8,19,false,3.24,0.43.96-0.45.04,OZAN BULUT,2929,false,Çok Bulutlu,11,4y d  a,60,90,12,1.11.97,Normal,3.3,0,711dfa201e5c0dee37e51795c5321d26,ANNA KÖSEALİ,2,,7
15:30,KV-7,FINALE DUTY,MEHMET SALİH ÇELİK,19609,false,4,9e9680e8baca351abf342d22712e53e0,Normal,1200,3 ve Yukarı İngilizler,"9,65",ALP ŞEMSETTİN EVCİMEN,12.34,63,213691,1,0,2500,1.09.66,6d473e620cf5dc46874d10a2f8b9ab6f,5,0,KG DB SK,,C2C8C8C2C1C1,ANKARA,14/11/2024,cim,8,20,false,11.04,0.43.96-0.45.04,AHMET İPEK,2659,false,Çok Bulutlu,11,4y d k,61,91,19,1.10.71,Normal,3.3,0,3f477f34ecbe6a14d5fd11a48dc73bb5,AKIN ÖZTÜRK,5,,4
14:00,Maiden,OYAZADE,CEM ALTUN,16909,false,1,c267042948866dffed315a1dfd75f3c1,Normal,1400,3 Yaşlı Araplar,"3,20",FEME HAY.TAR.LTD.ŞTİ.,24.43,52,213563,1,0.2,2489,1.34.56,7cb20a10cdbf6c5b0359a5807b6df523,6,3,KG SK GKR,7 Boy,K5K2K4K2K5K3,BURSA,08/11/2024,cim,12,17,false,<nil>,0.55.24-0.55.56,UBEYDULLAH DEMİR,3008,false,Açık,14,3y d  d,58,35,10,,Normal,3.3,0,34ba653cda5cc377263fbb1acf6846bf,SEÇKİN TOYDEMİR,1,,<nil>
15:00,Handikap 17,RUN FOR HAPPINESS,İBRAHİM SEFA SÖĞÜT,19319,false,8,c267042948866dffed315a1dfd75f3c1,Normal,1800,3 ve Yukarı İngilizler,"30,95",GÜLNUR GÜLERCE,3.77,52,213578,1,0,2702,1.48.85,8b3af9e314769cfeb6ab564b1effc7d3,6,2,KG DB SK,,K7K4K5K5C4K7,BURSA,08/11/2024,cim,9,16,false,3.38,0.46.04-0.46.64,GÜRCAN TURAN,2382,false,Açık,14,5y d  a,61,83,14,1.48.27,Normal,3.3,0,dd9c78de488c7b9c15c612436cff245b,AYLA KOZAN,5,,8
17:45,ŞARTLI 4,NİRENGİ,ERTUĞRUL CANKILIÇ,2512,false,2,edae24c0ccccbeb95b22c0e6da1d6acd,Normal,1900,4 Yaşlı Araplar,"7,75",TAYRAL TUTUMLU,16.97,51,213481,4,0,3045,2.10.57,cf6693afb4c545f3c3da38b67a774dbc,1,0,DB,Yarım Boy,K6C2C6C1C6K3,ADANA,03/11/2024,cim,8,18,false,<nil>,0.53.80-0.54.60,ŞEFİK AYDEMİR,478,true,Çok Bulutlu,27,4y d k,56,61,12,,Normal,3.3,0,5017979dae37639a5769369553310a88,TAYRAL TUTUMLU,2,,<nil>
17:15,Maiden,OYAZADE,ENES BOZDAĞ,16909,false,3,43d8da1385513ec871cc6b07f1f1317e,Normal,1500,3 Yaşlı Araplar,"4,95",FEME HAY.TAR.LTD.ŞTİ.,16.30,49,213358,1,0,2977,1.47.91,ecb16f9d8a36f9c2641cf5e3581775e8,5,4,KG SK GKR,"4,5 Boy",K3K5K2K4K2K5,KOCAELI,29/10/2024,kum,12,17,false,<nil>,0.59.28-0.58.92,YUSUF AKTAŞ,3001,true,Parçalı Bulutlu,20,3y d  d,56,35,7,1.48.25,,0,0,34ba653cda5cc377263fbb1acf6846bf,SEÇKİN TOYDEMİR,3,,<nil>
16:30,KV-8,MOUNTAIN,ÖZCAN YILDIRIM,8186,false,<nil>,2082c5d35a29e4e553dad502cc007a98,Normal,1300,3 ve Yukarı İngilizler,"3,75",ZEYNEP LEYLA ATMAN,<nil>,58,213088,2,0,377,1.16.37,81df2b7138e4e8372b175031425c2c90,8,0,DB SKG SK DS,Baş,C4C4C8C1C3C7,ADANA,15/10/2024,cim,8,18,false,17.03,0.45.20-0.46.04,SAVAŞ DEMİR,2425,false,Az Bulutlu,30,4y d  a,59,96,17,1.16.80,Normal,3.3,0,e37987ce9e58d579042fc208762dd458,REMZİ DAĞ,3,,4
17:00,KV-7,RUN FOR HAPPINESS,ALİ YILDIZ,19319,false,4,24ea798d64f21ef411ad8630f5a07fc5,Normal,2000,3 ve Yukarı İngilizler,"8,35",GÜLNUR GÜLERCE,7.98,69,213064,5,0,2869,2.05.81,1e7c1fe1479c07c633fd01e425c998d7,5,0,KG DB SK,"5,5 Boy",K1K2K7K4K5K5,BURSA,14/10/2024,cim,6,16,false,<nil>,0.49.64,GÜRCAN TURAN,2382,false,Çok Bulutlu,21,5y d  a,60,83,21,2.03.54,Çok Yumuşak,4.1,0,dd9c78de488c7b9c15c612436cff245b,AYLA KOZAN,4,,<nil>
15:00,Handikap 17,FAST PILOT,FATİH SULTAN MEHMET SANSAR,15181,false,8,330f38ca4f2761a31f7217191c20385c,Normal,1400,3 Yaşlı İngilizler,,TAYLAN ARSLAN,0.42,48,213023,7,0,2981,,81b4931b991f802da10704236dab0354,7,0,DB SK DS,,C6C5C5C3C2C3,ANKARA,12/10/2024,cim,8,17,true,0.07,0.40.08-0.46.48,BURÇİN ARSLAN,2727,false,Çok Bulutlu,21,3y a  e,50.5,61,7,1.25.61,Normal,3.3,0,40a0c9e84871a14a62220eb2da9eed21,SAİT ÖZTÜRK,<nil>,,8
15:30,KV-7,RAYMOND REDDINGTON,ERCAN ÇANKAYA,16738,false,7,330f38ca4f2761a31f7217191c20385c,Normal,1900,3 ve Yukarı İngilizler,"12,85",CAN TARHANACI,6.79,48,213019,5,0,2493,1.56.12,ac717ddc70094e1f18b2b6e511f17385,3,0,DB SK,1 Boy,C8C2C5C1C1C5,ANKARA,12/10/2024,cim,9,19,false,6.71,0.47.40-0.47.64,OZAN BULUT,2929,false,Çok Bulutlu,21,4y d  a,60,82,10,1.57.67,Normal,3.3,0,711dfa201e5c0dee37e51795c5321d26,ANNA KÖSEALİ,4,,7
15:30,KV-7,QUEIMADA GRANDE,MEHMET AKYAVUZ,12607,false,9,330f38ca4f2761a31f7217191c20385c,Normal,1900,3 ve Yukarı İngilizler,"19,75",HÜSEYİN NAFİZ ŞENGÜL,5.73,48,213019,2,0,437,1.56.27,ac717ddc70094e1f18b2b6e511f17385,7,0,SKG SK,,C1C5C7C7C5C5,ANKARA,12/10/2024,cim,9,15,false,5.29,0.47.40-0.47.64,MEHMET ÇELİK,2931,false,Çok Bulutlu,21,7y d  a,61,94,13,1.54.83,Normal,3.3,0,a743b4e4052cc1f0c0e5156bc0181587,HÜSEYİN NAFİZ ŞENGÜL,6,,9
16:30,KV-7,MELIAN THE MAIA,GÖKHAN KOCAKAYA,15334,false,1,0aa70e25f8f207f95499bc93be1b8b19,Normal,1400,2 Yaşlı İngilizler,"1,65",ATAKAN YAZICIOĞLU,46.55,41,212974,1,0,864,1.24.37,57e14b7695b19326f23428db87abc6c9,5,0,DB SKG SK,4 Boy,C2C1C0C1C2,ANKARA,10/10/2024,cim,6,19,false,49.64,0.46.48-0.46.68,BÜNYAMİN POLAT,2771,false,Parçalı Bulutlu,23,2y d  d,57,61,26,,Normal,3.3,0,c21e3de4976a9085f32665bc800848e3,ATAKAN YAZICIOĞLU,3,,1
18:30,ŞARTLI 5,PRİNCESA ADA,MÜSLÜM ÇELİK,18375,false,6,208165dc532893d69cd249f62537c860,Normal,1500,2 Yaşlı İngilizler,,TUĞBAN İZZET AKSOY,4.91,55,212851,5,0,958,,5f37cbd35f9d8f1a3887ef5aa6ca6e86,3,0,SK,,C2K2,ISTANBUL,04/10/2024,sentetik,6,19,true,<nil>,0.49.92-0.49.72,CASIM KATI,2430,true,Açık,25,2y d  d,52,,14,,Normal,3.3,0,3eb3df64d4b107cacc11929581fc7947,GÜLİZAR YANIK,<nil>,,<nil>
14:30,ŞARTLI 4,ÖZKEHRİBAR,HIŞMAN ÇİZİK,17867,true,4,0b70ff949648f8370503e6b2e449ac18,Normal,1400,4 Yaşlı Araplar,"10,25",SULTANSUYU TARIM İŞLETMELERİ,5.38,49,212839,4,0.5,1548,1.42.74,c1bd6b9bc4883d8a8000a5b159844d6c,6,0,DB SK,,K6K7C9K5K3K7,ANKARA,03/10/2024,kum,8,13,false,<nil>,0.56.36,CASIM KATI,2430,false,Açık,20,4y a k,56,50,9,1.40.22,Normal,3.3,0,e058cfda9519960c52b11cfeebb9458a,MEHMET KARATOPRAK,6,,<nil>
16:30,G 2,RONIN,AYHAN KURŞUN,17462,false,5,637bfb6dc6c93b5fd8419ee7747091bd,Normal,1600,3 ve Yukarı İngilizler,"13,80",CEMİL TAHİR BURHANLIOĞLU,6.13,82,212761,8,0,889,1.36.04,cf8ad8eae477fd999a514af917aabce6,5,0,DB SKG SK,,C4C8C1C3C1C3,ISTANBUL,29/09/2024,cim,8,19,false,6.75,0.46.96-0.45.64,HALİL KABUKCI,2502,false,Parçalı Bulutlu,24,3y d  e,56.5,92,21,1.36.25,Normal,3.3,0,4f2793a465a8a049ebbe13ca3598fca7,EMRAH BAĞDATLI,5,,5
15:00,ŞARTLI 5,FINALE DUTY,MEHMET KESKİN,19609,false,4,fdb5419bfd5ad2543c13fd96f3d32770,Normal,1900,3 ve Yukarı İngilizler,"13,10",ALP ŞEMSETTİN EVCİMEN,6.82,51,212564,2,0,1448,1.58.06,2bea43fc4552b22465091027e8da1712,4,0,KG DB SK,"2,5 Boy",C8C4C1C2C8C8,ANKARA,19/09/2024,cim,6,17,false,<nil>,0.47.96-0.48.24,AHMET İPEK,2659,false,Parçalı Bulutlu,23,4y d k,58,79,65,,Çok Yumuşak,3.9,0,3f477f34ecbe6a14d5fd11a48dc73bb5,AKIN ÖZTÜRK,2,,<nil>
21:30,Handikap 16,TUMBUL NAZLI,AHMET HASAN BAYAR,2206,true,4,3f2dad1e3f2135e50197dcafa1f1587f,Normal,1700,4 ve Yukarı Araplar,"8,10",REŞİT TUMBUL,9.37,32,212507,2,0,2486,2.11.11,f659e0486233c2bacb3b9f62436f3b13,2,3,KG SK,,K1K7K0K4K1K4,ELAZIG,16/09/2024,kum,13,19,false,<nil>,1.01.92-1.02.76,HAKAN ATAKAYA,3045,true,Az Bulutlu,30,4y k k,58,63,7,2.06.77,,0,0,9d92c1dac302e5c39c7e74f428c88f77,REŞİT TUMBUL,10,,<nil>
20:00,KV-6,TUMBUL NAZLI,İSA KATAR,2206,false,8,c65ff9b02c04d26b5647d35bfda46a95,Normal,1600,4 Yaşlı Araplar,"20,35",REŞİT TUMBUL,4.81,21,212376,10,0.5,1504,1.58.29,457da80a02f81d9da4d730b326c27880,9,0,KG SK,"1,5  Boy",K2K1K7K0K4K1,ELAZIG,09/09/2024,kum,14,20,false,4.70,0.59.04-1.00.20,HAKAN ATAKAYA,3045,true,Açık,33,4y k k,56,63,14,,,0,0,9d92c1dac302e5c39c7e74f428c88f77,REŞİT TUMBUL,4,2 Boy,8
18:00,Kısa Vade Handikap 22,FAST PILOT,GÖKHAN KOCAKAYA,15181,true,3,635872f87a55046ff0b0b3806a34b9fd,Normal,1500,3 ve Yukarı İngilizler,"6,55",TAYLAN ARSLAN,11.80,82,214451,6,2,864,1.30.05,032952110303a4bddf88b9bad29a81a9,9,0,DB SK DS,"1,5  Boy",C2C3C3C1C3K3,ISTANBUL,25/12/2024,sentetik,11,18,false,<nil>,0.46.92,BURÇİN ARSLAN,2727,false,Çok Bulutlu,13,3y a  e,52.5,74,12,1.31.18,,0,0,40a0c9e84871a14a62220eb2da9eed21,SAİT ÖZTÜRK,4,,<nil>
19:30,ŞARTLI 5,NİRENGİ,FURKAN ÇETİN,2512,false,<nil>,baab2db04df31dbea70820aae6a66f71,Normal,1400,4 ve Yukarı Araplar,"2,05",TAYRAL TUTUMLU,<nil>,51,214385,2,0,2880,1.40.61,2fbbc5cc9597811915dd2a5be551a184,4,0,DB,3 Boy,C1C6K3C2C4K1,ADANA,21/12/2024,kum,7,20,false,19.69,1.00.20-1.00.32,ŞEFİK AYDEMİR,478,true,Çok Bulutlu,14,4y d k,61,63,27,1.38.56,,0,0,5017979dae37639a5769369553310a88,TAYRAL TUTUMLU,1,,2
16:00,Handikap 17,FAST PILOT,GÖKHAN KOCAKAYA,15181,false,3,fdf4e2b545b249d4b3437d2a17bd4b3a,Normal,1500,3 ve Yukarı İngilizler,"5,55",TAYLAN ARSLAN,13.45,42,214236,10,0.3,864,1.31.18,b3019cd6b8273cd3cf9cb57e21dd16c1,12,0,DB SK DS,Baş,C3C2C3C3C1C3,ANTALYA,13/12/2024,sentetik,12,19,false,13.29,0.47.44-0.47.96,BURÇİN ARSLAN,2727,false,Açık,13,3y a  e,55.5,73,27,,,0,0,40a0c9e84871a14a62220eb2da9eed21,SAİT ÖZTÜRK,3,,3
20:30,Handikap 16,ÖZKEHRİBAR,HIŞMAN ÇİZİK,17867,true,<nil>,6a3ddf60bd813b39827b8bd5d539df34,Islak,1900,4 ve Yukarı Araplar,"2,60",SULTANSUYU TARIM İŞLETMELERİ,<nil>,92,214213,4,0,1548,2.18.98,2d64951d6ff805f570abf5ab53fe6a4c,1,0,DB SK,2 Boy,K7K6K1K1K5K4,KOCAELI,12/12/2024,kum,6,18,false,23.06,1.00.76-1.00.32,MERT KORKMAZ,2889,true,Hafif Yağmurlu,9,4y a k,57.5,62,16,2.20.59,,0,0,e058cfda9519960c52b11cfeebb9458a,MEHMET KARATOPRAK,2,,1
18:00,Kısa Vade Handikap 22,TORUNCALAS,AKIN SÖZEN,14288,true,4,5810be4b7ed75546b03ae2381ec8e2ad,Normal,1200,4 ve Yukarı Araplar,"5,25",MEMDUH ATEŞ,14.34,33,214054,3,0,94,1.24.01,a0b458389990f70032dbb0d587aa2134,12,0,KG K DB DS,,K3K4K2K9K4K2,ADANA,03/12/2024,kum,13,17,false,<nil>,0.55.20-0.55.88,RAMAZAN TAŞDELEN,2392,false,Az Bulutlu,18,4y a k,57.5,91,20,1.26.27,,0,0,9a87da68d2d338c66fb006d91ec4a279,VEHBİ ATEŞ,10,,<nil>
21:30,ŞARTLI 5,PAKELİF,HIŞMAN ÇİZİK,14588,true,7,1a99fb8b865e379806e0dea2841a8a24,Normal,1400,3 Yaşlı Araplar,"8,40",KASIM PAK,6.17,31,214024,10,0.1,1548,1.39.94,3bfcb6c9de19b2dc5d6af35f00063d1a,13,0,KG DB SK DS,"3,5 Boy",K7K6K4K0K4K3,ADANA,01/12/2024,kum,13,14,false,<nil>,0.57.64-0.58.44,RESUL KONUK,1466,true,Az Bulutlu,19,3y k  d,57,44,35,1.40.70,,0,0,760dfb6f08239b3bb758e63d05d81b2e,CEMİL AKDÖNER,2,,<nil>
15:30,Kısa Vade Handikap 22,FINALE DUTY,MEHMET SALİH ÇELİK,19609,false,6,5bd5375ccbb9ed3793cd8fd0b3c5c3f3,Normal,1400,3 ve Yukarı İngilizler,"8,75",ALP ŞEMSETTİN EVCİMEN,11.12,49,213310,5,0,2500,1.22.82,7e5a4e6d2460a00cb6cf28e640674c0c,2,0,KG DB SK,Yarım Boy,C1C2C8C8C2C1,ANKARA,26/10/2024,cim,7,20,false,12.40,0.46.32-0.46.60,AHMET İPEK,2659,false,Açık,14,4y d k,56,86,21,1.22.85,Normal,3.3,0,3f477f34ecbe6a14d5fd11a48dc73bb5,AKIN ÖZTÜRK,1,,5
16:00,KV-9,RUN FOR HAPPINESS,KADİR TOKAÇOĞLU,19319,false,5,34ea0f9813c0c6dd3d25e61af3fb5c12,Islak,1800,3 ve Yukarı İngilizler,"38,75",GÜLNUR GÜLERCE,1.06,93,213713,1,0,408,1.57.08,bad28fb1fa557d93b3af07932d4394dc,3,0,KG DB SK,,K4K5K5C4K7C5,BURSA,15/11/2024,kum,5,16,false,1.02,0.47.16-0.47.28,GÜRCAN TURAN,2382,false,Çok Bulutlu,14,5y d  a,60,83,7,1.57.10,,0,0,dd9c78de488c7b9c15c612436cff245b,AYLA KOZAN,5,,5
17:30,KV-8,TORUNCALAS,VEDAT ABİŞ,14288,false,<nil>,4ab76840f33a8c5c289aff49da4d598a,Normal,2000,4 Yaşlı Araplar,"2,25",MEMDUH ATEŞ,<nil>,71,213681,5,0,2714,2.16.70,6db481979bc3e66b30cfb23b5a31632b,6,0,KG K DB DS,"1,5  Boy",K2K3K4K2K9K4,ISTANBUL,13/11/2024,sentetik,6,16,false,33.23,0.52.12-0.51.60,RAMAZAN TAŞDELEN,2392,false,Çok Bulutlu,16,4y a k,58,91,28,2.17.96,Yumuşak,3.6,0,9a87da68d2d338c66fb006d91ec4a279,VEHBİ ATEŞ,2,,1
20:00,KV-7,NİRENGİ,FATİH SULTAN MEHMET SANSAR,2512,true,4,44cb1635358b210c5755f57d29d60309,Normal,1300,4 ve Yukarı Araplar,"13,85",TAYRAL TUTUMLU,6.67,31,213627,6,0,2981,1.26.00,95d1cb9850e5b3f6ca195fbdf238cfc6,5,0,DB,"1,5  Boy",C2C6C1C6K3C2,ADANA,10/11/2024,cim,7,17,false,7.32,0.52.72-0.53.20,ŞEFİK AYDEMİR,478,true,Çok Bulutlu,25,4y d k,56,61,7,1.26.44,Normal,3.3,0,5017979dae37639a5769369553310a88,TAYRAL TUTUMLU,4,,4
16:00,KV-6,MELIAN THE MAIA,GÖKHAN KOCAKAYA,15334,false,1,9269562263920e868492f185a050e249,Normal,1300,2 Yaşlı İngilizler,"1,95",ATAKAN YAZICIOĞLU,44.90,47,213402,1,0.6,864,1.16.61,c109d85ce8ffa23ed6f4c5b3c97cff09,5,0,KG DB SK,"1,5  Boy",C2C1C0C1C2C3,ANKARA,31/10/2024,cim,7,18,false,48.06,0.46.28-0.47.16,BÜNYAMİN POLAT,2771,false,Parçalı Bulutlu,15,2y d  d,55,62,21,1.17.75,Normal,3.3,0,c21e3de4976a9085f32665bc800848e3,ATAKAN YAZICIOĞLU,1,,1
16:00,KV-6,HEARTED,AHMET ÇELİK,20438,true,3,9269562263920e868492f185a050e249,Normal,1300,2 Yaşlı İngilizler,"6,25",MEHMET EMİN AKYOL,12.15,47,213402,4,1.4,107,1.17.25,c109d85ce8ffa23ed6f4c5b3c97cff09,2,0,K,"3,5 Boy",C2,ANKARA,31/10/2024,cim,7,19,false,10.96,0.46.28-0.47.16,OZAN BULUT,2929,false,Parçalı Bulutlu,15,2y d  e,55,,11,1.17.83,Normal,3.3,0,4c26d6f1a89f921f44775d0d45145747,REMZİYE DENİZ,3,,3
