gece,mesafe,pist,cins_detay,son800,at_key,start,apranti_kilo_indirimi,hipodrom_key,fazla_kilo,sahip_adi,sahip_kodu,son20,en_iyi_derece,en_iyi_derece_farkli_hipodrom,kum,yaris_kosu_key,tarih,grup,fark,son6,agf2,cim_pist_agirlik,kum_pist_agirlik,yas,jokey_kodu,antrenor_adi,antrenor_kodu,agf1,at_adi,kilo,yetistirici_adi,gec_cikis_boy,agf1_sira,nem,cim,kosu_kodu,saat,kosmaz,taki,hava_durumu,at_sayisi,jokey_adi,handikap,sonuc,agf2_sira,sicaklik,no,kgs,ganyan,derece,yaris_key
true,1200,kum,Handikap 16,0.55.37-0.57.15,ef65e73d1af81467016e3347cb4b47be,9,2,ADANA,0,AZİZ ALTIN,13991,15,1.25.09,true,Normal,b2797d993690d3279f5629dd0c51fa31,04/05/2025,4 ve Yukarı Araplar,,K2K5K2K4K9K8,<nil>,3.3,0,5y a  a,3070,MEHMET ALTIN,2907,6.17,KOCATEPE,61,MURAT ALTIN,,6,46,Normal,216957,17:15,false,KG DS,Açık,10,SALİH ÇELİK,68,9,<nil>,28,1,6,"12,60",1.28.90,ae2c7f8d0d0310550dd260aa0704c028
true,2100,kum,Handikap 14,0.58.22-0.59.36,c320cc86ef85fb5b512b70bc57ff2e28,1,0,IZMIR,0,İBRAHİM HALİL ASLAN,8837,16,2.35.47,false,Normal,70df9d5c03b92470859b36de916fae11,28/03/2025,4 ve Yukarı Araplar,,K9K5K3K5K5K6,<nil>,3.3,0,6y a k,1337,HAKAN ASLAN,1687,11.83,AKSU NEHİR,59,SULTANSUYU TARIM İŞLETMELERİ,,4,61,Normal,216038,21:30,false,DB SK,Çok Bulutlu,12,NEVZAT AVCİ,45,8,<nil>,21,7,26,"5,35",2.36.76,922ee67312769b0f6eb903f9a4047a4f
false,2000,kum,Handikap 15,0.55.05-0.55.17,7230373506f42eeb316b846dc5a42a26,3,0,BURSA,1.5,SELİN DİKENCİK,2353,8,2.11.82,false,Normal,8d8c591d2507a722cb30e0d9a45bea6f,25/04/2025,3 ve Yukarı İngilizler,Baş,K0K7K7K4K7K9,<nil>,3.3,0,6y d  a,408,MELEK ÖZGÜL,2371,7.41,FORTUNELLO,56,SELİN DİKENCİK,,5,69,Normal,216718,14:00,false,SKG SK,Çok Bulutlu,9,KADİR TOKAÇOĞLU,43,3,<nil>,15,6,4,"9,35",2.13.36,7fcf2515329e5330450e9bb2b32baaec
true,1900,cim,Handikap 15,0.52.87-0.53.56,c320cc86ef85fb5b512b70bc57ff2e28,3,3,IZMIR,1,İBRAHİM HALİL ASLAN,8837,14,2.12.09,false,Normal,bd84a7ec9b01214e88dfe74e465d0ce4,08/05/2025,4 ve Yukarı Araplar,Burun,K5K6K8K3K0C3,<nil>,3.3,0,6y a k,2712,HAKAN ASLAN,1687,12.13,AKSU NEHİR,53,SULTANSUYU TARIM İŞLETMELERİ,,4,29,Normal,217036,16:45,false,KG DB SK,Açık,9,SİNAN AKŞIN,43,4,<nil>,29,7,5,"7,25",2.12.67,e7f481fc410ca9da964150e60fca5d7a
false,1500,cim,Handikap 15,0.52.10-0.53.90,26c489924db7e689c1078309fb133011,11,0,BURSA,1.2,HATİCE YILDIZ,8343,15,,false,Normal,3aaf0c250bd39098d02701586f8ad86d,09/05/2025,4 Yaşlı Araplar,Burun,K1K7K0K4C9C7,5.34,3.3,0,4y k  a,1023,MEHMET ÖCAL,616,<nil>,HEMŞERİM,50.5,CENK BAYUR,,<nil>,43,Normal,217054,18:00,false,KG DB GKR,Çok Bulutlu,18,SERCAN TIRPAN,38,4,6,26,13,7,"12,00",1.39.71,7c1068fca55e1ad5cee565a22d3e649a
false,1500,cim,Handikap 15,0.52.10-0.53.90,90602266cc2caa187fdfc6f07153533e,18,0,BURSA,2,RAMAZAN YILMAZ,20773,20,1.42.53,false,Normal,3aaf0c250bd39098d02701586f8ad86d,09/05/2025,4 Yaşlı Araplar,,K4K5K8K4K4K1,1.74,3.3,0,4y k  a,3045,ZEYNEP KAYA,3014,<nil>,ÇİMENGÖZ,50,ANADOLU TARIM İŞLETMELERİ,,<nil>,43,Normal,217054,18:00,false,KG DB SK GKR,Çok Bulutlu,18,ERTUĞRUL CANKILIÇ,37,12,7,26,18,21,"14,10",1.42.35,7c1068fca55e1ad5cee565a22d3e649a
false,2000,kum,ŞARTLI 3,0.58.19-0.59.39,50f0d5052281c070a23231928d9c0bd1,6,3,BURSA,0.2,HAKKI TARIK DİKENCİK,2503,10,2.22.59,true,Normal,be73ffc30f7fee7ebbd05903a8b77e1f,28/04/2025,4 ve Yukarı Araplar,,K2K7K8K9K8K0,0.86,0,0,5y k k,1445,MELEK ÖZGÜL,2371,<nil>,SULTAN NENE,54.5,ANADOLU TARIM İŞLETMELERİ,,<nil>,50,,216790,18:00,false,KG SK,Açık,12,YUNUS EMRE YÜKSEL,76,11,10,10,10,15,"32,10",2.32.77,890bde0980c099f284673fff0ab490a3
true,1200,cim,Handikap 14,0.51.92-0.50.72,2fb5960c50e50a7e5d0afb25e2107398,12,3,IZMIR,0,GÜNSEN SOYUPAK,9970,12,1.18.74,false,Normal,66af8d213cfe301ca40a9da1e0b0e098,03/05/2025,4 ve Yukarı Araplar,"8,5 Boy",C3C6C4C8K6K6,8.87,3.3,0,5y d  a,2878,MUHAMMED UĞUR TURAN,2808,<nil>,MOĞOLOĞLU,57.5,MOZ.ORG.TAR.HAY.SAN.TİC.A.Ş.,,<nil>,39,Normal,216937,20:30,false,KG DB SK,Açık,14,ENES ÜSTÜN,43,5,5,23,6,101,"11,50",1.18.37,8652ed994ade8d1dc79934d5dad91373
false,2400,cim,Handikap 15,0.51.11-0.51.84,7b39d62008dcded6fbc4e4a02be3b267,6,2,ISTANBUL,1.7,ERGÜN CAN,10423,20,2.47.48,false,Normal,293323a8891cfe665cacbd18bb2932cb,21/05/2025,4 ve Yukarı Araplar,Yarım Boy,K7K0K0K7C6C1,<nil>,3.3,0,6y k  a,1505,KAZIM ŞENGEL,2651,12.94,DİYATOME,53,UĞUR KORKUT,3 boy,4,48,Normal,217338,14:30,false,KG DB,Açık,8,FURKAN KARAKURT,49,3,<nil>,22,5,12,"7,25",2.49.84,6657f428bde36d6c25f130c542a995c4
true,1400,kum,Handikap 16,0.54.58,51722e0cee89fc077df88e5cfdb597ef,3,0,IZMIR,0.5,HAKKI TARIK DİKENCİK,2503,15,1.37.21,false,Normal,a0d8a7d649666c67cb89a05e807ec16e,22/05/2025,4 Yaşlı Araplar,,K5K5K3K2K8K8,2.82,3.3,0,4y a k,2494,MELEK ÖZGÜL,2371,2.74,UÇAN BALON,51.5,KARACABEY TARIM İŞLETMELERİ,,7,19,Normal,217360,20:30,false,KG SK,Açık,10,EREN KADİRLER,50,7,7,33,7,9,"24,00",1.38.27,d01bf00523a4a4171407754af308a85c
false,1400,kum,ŞARTLI 5,0.55.70-0.55.79,51722e0cee89fc077df88e5cfdb597ef,3,0,BURSA,0.3,HAKKI TARIK DİKENCİK,2503,17,1.37.21,true,Nemli,d9eedba67a1dfdb7bf055b22e74f998f,02/05/2025,4 Yaşlı Araplar,,K7K2K5K5K3K2,<nil>,4.2,0,4y a k,566,MELEK ÖZGÜL,2371,4.64,UÇAN BALON,52,KARACABEY TARIM İŞLETMELERİ,,5,79,Çok Yumuşak,216894,15:00,false,KG SK,Hafif Yağmurlu,10,ONUR ATMACA,50,8,<nil>,12,10,8,"11,60",1.40.80,aec71dc561a35ab3658344c2011bcbd6
false,1400,cim,ŞARTLI 5,0.46.40,d725cd7c9ef8e9f38d98274c7806c1c2,3,0,BURSA,0,EROL ÇOKLAR,7884,20,,false,Nemli,eee1074b62e535917248b5dd01d8cda6,02/05/2025,3 Yaşlı İngilizler,,C4K5K5K7K0C1,1.98,4.2,0,3y d  e,2697,TUNCAY ATEŞ,1590,2.37,BIÇKIDERELİ EGE,54,MUSTAFA AĞIRLAR,,4,79,Çok Yumuşak,216890,16:30,false,DB SKG SK,Hafif Yağmurlu,8,CEMAL PASO,38,6,4,12,5,7,"6,40",1.25.11,aec71dc561a35ab3658344c2011bcbd6
true,1800,cim,ŞARTLI 4,0.52.93-0.53.18,8b0d87a4e421de4218a06bfc81249070,11,0,IZMIR,0.1,ELİF AKIN,6659,19,,false,Normal,8d870d91b5b9afcf0d65c567d7f12925,03/05/2025,4 Yaşlı Araplar,,K4K0K3C3K1K8,<nil>,3.3,0,4y a k,2701,MELİH TEZEL,2686,3.17,KIZILHİS,56,İDRİS TANYILDIZ,"2,5 Boy",3,39,Normal,216938,16:15,false,KG,Açık,14,GÖRKEM ÖZÇELİK,37,13,<nil>,23,10,9,"23,00",2.24.39,8652ed994ade8d1dc79934d5dad91373
false,1700,cim,Handikap 15,0.53.29-0.53.97,0be9b6a7e83b55005f310cd8dfcb7f4e,5,2,BURSA,0,SADIK ORUÇ,6327,13,1.56.15,false,Nemli,d723f57fac0e24f87494a1eb23c7e7b8,02/05/2025,4 ve Yukarı Araplar,,C4C4C0K7K6K9,1.75,4.2,0,6y k k,2489,TAYFUN SAYILKAN,2792,<nil>,ANEMON ÇİÇEĞİ,56,BİHTERCAN ATAÇ,,<nil>,79,Çok Yumuşak,216896,18:00,false,KG DB SK,Hafif Yağmurlu,17,CEM ALTUN,50,14,15,12,9,121,"25,20",1.56.89,aec71dc561a35ab3658344c2011bcbd6
false,1700,cim,Handikap 15,0.53.29-0.53.97,e2703bad2df0ba5a9da36ac6b938d8b0,9,0,BURSA,2,NURİ TURAN,13938,13,,false,Nemli,d723f57fac0e24f87494a1eb23c7e7b8,02/05/2025,4 ve Yukarı Araplar,,K5K6K9K8K0C0,0.95,4.2,0,5y a k,2984,MUHAMMED ALİ TURAN,2952,<nil>,İDİLYILDIZ,53,EYUP YILDIZ,,<nil>,79,Çok Yumuşak,216896,18:00,false,KG DB SK,Hafif Yağmurlu,17,HÜSEYİN TURAN,40,13,16,12,13,14,"51,75",1.56.63,aec71dc561a35ab3658344c2011bcbd6
false,1500,cim,Handikap 16,0.49.14,bbab93e3279ac841d2fed46d90d89f7b,11,2,BURSA,0,MAHMUT GÜLGÜL,16477,12,1.29.33,false,Nemli,11eae18464d1c6bae82e99146b594570,02/05/2025,3 ve Yukarı İngilizler,,C8C0C3K0K8C7,9.29,4.2,0,4y d k,1445,İLYAS CANPOLAT,2704,9.03,GRAVITY OF LOVE,59.5,MEHMET GÜNDÜZELİ,"1,5 Boy",5,79,Çok Yumuşak,216893,16:00,false,SKG SK,Hafif Yağmurlu,14,YUNUS EMRE YÜKSEL,64,12,5,12,3,14,"6,80",1.32.55,aec71dc561a35ab3658344c2011bcbd6
false,1600,kum,ŞARTLI 5,0.56.35-0.57.00,7f76ddc2308ef066c603c2c51a0bd96d,5,0,IZMIR,0.5,MEHMET BİRDEN,13929,12,,false,Nemli,609c27ac59e3fd38a96e595c2e38c06f,30/03/2025,4 Yaşlı Araplar,Yarım Boy,K9K3K6K2K7K4,<nil>,3.7,0,4y k  a,1337,ÜLKÜ AYBOĞA,2667,2.34,ESMERDAĞ,54,İSMAİL ATİK,,6,63,Yumuşak,216072,16:30,false,DB SKG SK,Çok Bulutlu,7,NEVZAT AVCİ,45,2,<nil>,17,6,7,"20,75",1.51.87,7401e1557c09bebdafb0f017121c6131
