yaris_kosu_key,no,saat,yas,jokey_adi,agf2,hipodrom_key,hava_durumu,cim,tarih,grup,cins_detay,son800,fazla_kilo,cim_pist_agirlik,kum_pist_agirlik,at_key,at_adi,apranti_kilo_indirimi,jokey_kodu,kosmaz,ganyan,mesafe,kilo,agf1,agf2_sira,gece,pist,at_sayisi,sahip_kodu,handikap,son20,en_iyi_derece_farkli_hipodrom,sonuc,sicaklik,nem,fark,gec_cikis_boy,kum,sahip_adi,antrenor_adi,kgs,taki,yetistirici_adi,son6,agf1_sira,yaris_key,kosu_kodu,start,antrenor_kodu,en_iyi_derece,derece
b23770b5c0cde9f2a724526b33b149cd,5,22:00,3y k e,İZETTİN GÜREKE,<nil>,DBAKIR,Açık,,12/07/2025,3 Yaşlı Araplar,ŞARTLI 2,1.03.60-1.03.96,0.6,0,0,62f677d1de9bd5b213258392399c19f8,ZİYAT AĞA,0,2881,false,"24,00",1200,54,2.74,<nil>,true,kum,7,16907,,19,false,4,39,9,"1,5  Boy",,Normal,EYYÜP AYDINLIKTA,MUHARREM SUSEN,35,KG SK,SALİH KARAOĞLAN,C9,6,b7f6626664c86a41841cab2d26cc8853,218567,1,2884,,1.38.36
befc4e0704a9c418f5c82c48d29f9dca,9,21:30,6y a a,İSA KATAR,<nil>,DBAKIR,Açık,,12/07/2025,4 ve Yukarı Araplar,ŞARTLI 5,1.05.96-1.06.04,0.8,0,0,1e2c0a3bccb5cdccd6d6682664550b50,ARAPÇELİK,0,1504,false,"12,45",2000,56,7.46,<nil>,true,kum,11,11550,68,20,false,2,39,9,5 Boy,,Normal,MEHMET NURULLAH KARAKEÇİLİ,HÜSEYİN SUNKAR,5,KG DB DS,MERT YAYINCILIK LTD.,K8K0K3K4K1K5,7,b7f6626664c86a41841cab2d26cc8853,218565,8,3040,2.36.17,2.37.55
3be462f45aa373a55267bdbc874556dc,6,22:30,3y d d,HALİM YİĞİT ÜNVER,<nil>,DBAKIR,Açık,,12/07/2025,3 ve Yukarı İngilizler,ŞARTLI 4,0.54.91,0,0,0,1b28cf9043862cddafbe124807f5c43d,ÇAYKARALIM,0,3055,true,,1700,52.5,1.55,<nil>,true,kum,6,16191,38,15,false,<nil>,39,9,,,Normal,ONUR EMRE GÜL,SAVAŞ DEMİR,7,DB SKG SK DS,ŞEVKET BERBEROĞLU,C1C8C0K7C9C6,6,b7f6626664c86a41841cab2d26cc8853,218568,5,2425,,
ead9fe960cba79e92a70581ac28c4713,1,23:00,3y k e,FERİT YARDIMCI,<nil>,DBAKIR,Açık,,12/07/2025,3 Yaşlı İngilizler,Handikap 15,0.57.93-1.00.31,0,0,0,894a457dfe4c79e7ee71f41a6424a125,GÖKÇEHAN,0,267,false,"2,50",1800,61.5,27.33,<nil>,true,kum,9,16617,53,17,false,1,39,9,11 Boy,,Normal,HÜSEYİN BECENE,MUHARREM SUSEN,14,DB SKG SK,ALİ UÇAK,K1K7K4K4K2K3,1,b7f6626664c86a41841cab2d26cc8853,218569,2,2884,,2.09.45
33664bbd27b492de6d7382ce05d97147,7,21:00,3y d  d,BURAK AKÇAY,<nil>,ANTALYA,Kapalı,,04/02/2025,3 Yaşlı İngilizler,Maiden,0.53.96-0.54.24,0,0,0,b62a86c2786b62c60bc040c9a293ffc9,AY ÇÖLÜ,0,1489,false,"14,80",2000,56,2.50,<nil>,true,kum,8,20620,31,10,false,6,15,70,,,Normal,SONGÜL YILDIRIM,ÖMER YILDIRIM,14,KG DB SK,HÜSEYİN ÖZSÖNMEZ,K4K8K8K3K2K9,6,69ece2527b3a72e203811258250ae1bf,215159,5,2927,,2.18.61
c9cf1450dbd3e5fd77bce55657896a64,5,19:30,3y a d,ALİ YILDIZ,8.73,KOCAELI,Çok Bulutlu,,10/07/2025,3 Yaşlı İngilizler,SATIŞ 1,0.52.10-0.52.26,0,0,0,d33233e5dc543cccfae62583bed7798a,CLEAR SHOT,0,2869,false,"19,25",1900,56,8.54,6,true,kum,13,16064,32,15,false,5,26,63,,,Normal,BERAT YEŞİLBUDAK,ULVİ YOĞURTCU,15,K DB,ZEYNEP LEYLA ATMAN,K4K3K5K0C0K5,6,19a89a2c71871b1809137b8ea3fd4920,218528,7,940,,2.08.61
1a4b2c5e73cdc57fe2da66000d445d63,4,19:00,3y a e,FERİT YARDIMCI,20.47,ELAZIG,Açık,,07/07/2025,3 Yaşlı İngilizler,Maiden,0.57.84-0.58.64,0,0,0,36582d36910fb2b3045a3c124cbf0f28,BRO BORA,0,267,false,"3,90",1900,60,22.79,2,true,kum,13,11733,33,15,true,1,33,22,7 Boy,,Normal,ABDULVEHAP AKDAĞ,HALİL ÇALI,14,KG K DB,SONGÜL ŞİMŞEK,K4K5K4K4K9K6,2,8b4ed46a5185974ef5f56ce1c38ac2fe,218457,5,2955,2.07.28,2.12.41
ead9fe960cba79e92a70581ac28c4713,2,23:00,3y d e,AZİZ AKDEMİR,<nil>,DBAKIR,Açık,,12/07/2025,3 Yaşlı İngilizler,Handikap 15,0.57.93-1.00.31,0,0,0,b1fd21dee3c1956af120efa95c0a1c69,ROTA SHOW,0,2872,false,"6,45",1800,61,15.01,<nil>,true,kum,9,15042,52,17,false,5,39,9,,,Normal,KASIM AKDEMİR,ZEKERİYA AKDEMİR,12,SKG SK,HAKKI METİN OLGUNER,K4K3K2K2K3K4,3,b7f6626664c86a41841cab2d26cc8853,218569,6,2867,,2.15.02
befc4e0704a9c418f5c82c48d29f9dca,5,21:30,9y a a,MUSTAFA IŞIK,<nil>,DBAKIR,Açık,,12/07/2025,4 ve Yukarı Araplar,ŞARTLI 5,1.05.96-1.06.04,0,0,0,c0d4032b086568b155d0ef9b020a4cb4,YUTANGİRDAP,3,2263,false,"6,55",2000,57,5.26,<nil>,true,kum,11,15225,78,14,true,10,39,9,,,Normal,METİN ARSLAN,MEHMET ALTIN,5,KG SK,FEME HAY.TAR.LTD.ŞTİ.,K4K6K0K3K0K3,4,b7f6626664c86a41841cab2d26cc8853,218565,1,2907,2.27.96,2.54.85
135bbda8d6c0211e0d0a4fe3aa0c268c,8,20:00,4y k a,YUSUF CENGİZ,7.35,ELAZIG,Açık,,07/07/2025,4 Yaşlı Araplar,KV-6,1.03.96,1,0,0,a5c547cf711c0b0bafe9cab7f56f2350,YEDİKARDEŞLER,0,2717,false,"7,35",2000,56,6.48,5,true,kum,9,12799,59,18,true,9,33,22,,,Normal,MAHMUT AKBAŞ,SAMET AKYAVUZ,9,KG SK,MAHMUT AKBAŞ,K0K5K1K1K3K2,5,8b4ed46a5185974ef5f56ce1c38ac2fe,218466,1,3043,2.30.96,2.41.33
