fazla_kilo,tarih,cim,pist,grup,kgs,en_iyi_derece_farkli_hipodrom,hipodrom_key,hava_durumu,son800,en_iyi_derece,fark,gec_cikis_boy,agf1_sira,kum,kosu_kodu,cins_detay,handikap,sonuc,son6,agf1,gece,mesafe,at_adi,jokey_kodu,ganyan,agf2,yas,kilo,apranti_kilo_indirimi,cim_pist_agirlik,kum_pist_agirlik,no,at_key,jokey_adi,yaris_key,nem,sahip_adi,sahip_kodu,antrenor_adi,antrenor_kodu,yetistirici_adi,derece,sicaklik,yaris_kosu_key,saat,son20,kosmaz,at_sayisi,taki,agf2_sira,start
2,07/04/2025,,kum,4 ve Yukarı İngilizler,21,false,SANLIURFA,Çok Bulutlu,0.51.40-0.51.68,1.29.89,,,5,Normal,216198,KV-6,76,8,K1K9K1K1K2K4,4.66,true,1400,ÖZAY SILAŞARA,2496,"13,75",<nil>,4y a k,55,0,0,0,10,baffcdddcaae638c675f71a7e502944a,HASAN ALTUNDAĞ,f9b7c2bd169f6a012ed72751db61d2d1,22,ALİ ÇİZİK,15875,TURĞUT ÇİZİK,2859,CEVDET AYIKÖZ,1.37.20,25,d684087d756a41319d4b0abec989c11d,19:30,18,false,11,KG SK,<nil>,4
0,07/04/2025,,kum,4 Yaşlı Araplar,12,false,SANLIURFA,Çok Bulutlu,1.00.84-1.01.72,2.21.12,"5,5 Boy",,4,Normal,216200,Handikap 15,46,2,K8K8K2K1K2K3,10.61,true,1800,DERBEDER ALİ,540,"9,25",<nil>,4y a  a,56.5,0,0,0,5,6f1f80424712c4b5745ed1fa9080a364,NECMİ ALTIN,f9b7c2bd169f6a012ed72751db61d2d1,22,İSMAİL GÜRLER,8625,MUHARREM SUSEN,2884,İSMAİL GÜRLER,2.11.32,25,ba4f658bdcaf3b4e577de1d7e3c76094,21:00,18,false,13,KG DB SK,<nil>,3
0,26/04/2025,,kum,4 ve Yukarı Araplar,17,true,DBAKIR,Parçalı Bulutlu,1.05.84,2.08.24,,,5,Normal,216738,ŞARTLI 3,56,9,K2K1K9K3K6K1,9.24,true,1700,BALLIYARIM,2716,"10,30",<nil>,5y a k,60.5,3,0,0,1,d623add0856c96b30c7bbc5ac52aae1f,YUNUS ÇELİKBAŞ,21d8d5757e3547cbfee2d7024918e412,50,FERHAT BİNİCİ,12040,MEHMET KAYA,2830,FEME HAY.TAR.LTD.ŞTİ.,Derecesiz,15,9c8f2a11d48ef744d40c66477c0d0de8,22:00,20,false,9,K,<nil>,7
0,09/04/2025,,kum,4 ve Yukarı Araplar,56,true,ELAZIG,Çok Bulutlu,1.00.84-1.01.88,1.25.49,4 Boy,,2,Normal,216229,Handikap 15,49,1,K2K2K1K9K3K6,14.19,true,1200,BALLIYARIM,2378,"6,20",<nil>,5y a k,60,0,0,0,5,d623add0856c96b30c7bbc5ac52aae1f,İSA AKYAVUZ,5ffe028a36c5899951aa15d8cf191724,58,FERHAT BİNİCİ,12040,FURKAN YALÇINKAYA,2974,FEME HAY.TAR.LTD.ŞTİ.,1.29.29,20,7de91d5fc3f14fdb8dbad9945fd1d75f,19:00,17,false,12,K,<nil>,9
0.1,06/04/2025,Normal,kum,4 ve Yukarı İngilizler,12,false,ADANA,Çok Bulutlu,0.53.49-0.54.68,2.03.35,,,4,Normal,216179,Handikap 16,61,5,K0K1K8K5K5K8,13.01,false,1900,MOZART,958,"6,30",12.48,4y d  a,56,0,3.3,0,5,01037b8ac2317d6bf84de6412311419a,MÜSLÜM ÇELİK,3ff35ccc4d48ce9e1c56dd7b1ca204bf,52,OSMAN ZİYA TEKİNALP,8641,SERHAT POLAT,2866,MURAT AKÇA,2.06.12,22,36b2808616d8d956a6ffab2071df0d18,15:30,16,false,10,DB SK DS,4,10
0,14/05/2025,,kum,3 Yaşlı İngilizler,21,false,ELAZIG,Çok Bulutlu,0.57.68-0.58.84,,Yarım Boy,,4,Sulu,217138,Maiden,33,4,K0K5K6K4K5K4,8.17,true,1700,BRO BORA,1081,"9,45",<nil>,3y a  e,60,0,0,0,2,36582d36910fb2b3045a3c124cbf0f28,MEHMET DOĞAN,3391367c6707f610004ce9396bc42c36,45,ABDULVEHAP AKDAĞ,11733,MEHMET KAYA,2830,SONGÜL ŞİMŞEK,2.00.19,20,303f9cecdfddb5a0c836c0c20934be91,18:30,16,false,12,KG SK,<nil>,2
0,12/05/2025,,kum,3 ve Yukarı İngilizler,21,false,SANLIURFA,Parçalı Bulutlu,0.56.44-0.57.52,2.38.22,,,4,Normal,217104,ŞARTLI 3,66,5,K0K3K5K1K2K3,10.30,true,2100,TRADER,2716,"9,35",9.12,5y a  a,60.5,3,0,0,1,b943f555efa190e98a9a7f89f13018b4,YUNUS ÇELİKBAŞ,dd688e674d751e6c56b24f30e862fc92,25,MEHMET GARİP BECENE,13931,SALİH BECENE,2965,SEVGİ SELÇUKOĞLU,2.25.02,30,1e809cdb1f8f3cc641a634e5c97a9b04,19:30,18,false,14,DB,5,3
0,14/04/2025,,kum,4 Yaşlı Araplar,7,false,SANLIURFA,Çok Bulutlu,1.02.36-1.02.68,,Burun,,1,Normal,216403,Handikap 15,48,2,K8K2K1K2K3K2,22.34,true,1900,DERBEDER ALİ,540,"2,85",<nil>,4y a  a,57.5,0,0,0,3,6f1f80424712c4b5745ed1fa9080a364,NECMİ ALTIN,b983f92911e49d9072188691015fd86b,49,İSMAİL GÜRLER,8625,MUHARREM SUSEN,2884,İSMAİL GÜRLER,2.22.02,14,44d5ab86985a67cbbc59a00646a7b5a6,18:30,18,false,10,KG DB SK,<nil>,2
0.2,17/04/2025,Normal,kum,3 ve Yukarı İngilizler,11,false,ANKARA,Açık,0.49.13-0.49.19,,"1,5  Boy",,<nil>,Normal,216486,KV-7,94,4,K2K4K4K4K5K6,<nil>,false,2000,COUNTACH,2500,"7,25",8.67,4y d  a,56,0,3.3,0,5,87d33fc2256e0dadfacad0d3f3956de6,MEHMET SALİH ÇELİK,4e79a394f4df5396b624e12125e3eb33,39,GÜLİZAR YANIK,18375,CASIM KATI,2430,KAAN KÖYLÜ,2.09.67,20,9acb8cf24647b9f3b398da3772e43345,17:00,16,false,7,SK,4,4
0,19/04/2025,Çok Yumuşak,cim,3 ve Yukarı İngilizler,16,false,ANKARA,Hafif Yağmurlu,0.47.68,1.37.07,,,8,Nemli,216547,ŞARTLI 4,43,6,K3K0K6K9K8K6,0.90,false,1600,DERKO,450,"45,10",<nil>,4y d  a,56,0,4.1,0,5,4befd135e6346428a367ba7c1fa076ab,MÜCAHİT BAYIR,c96704bc5e086735e3f7d937a7df7d97,78,BAHAR BAŞ,12096,AYKUT ECEVİT BAŞ,94,SELAHADDİN DİNÇEL,1.40.86,14,158488ae662197ce3bbcab0170f20893,13:30,13,false,8,KG DB SK,<nil>,6
