handikap,kgs,hava_durumu,no,pist,at_sayisi,antrenor_kodu,kosmaz,en_iyi_derece_farkli_hipodrom,yetistirici_adi,sicaklik,tarih,cins_detay,start,sahip_kodu,agf2,mesafe,son800,apranti_kilo_indirimi,derece,son6,agf1,hipodrom_key,gece,nem,kum,at_key,at_adi,son20,taki,yaris_kosu_key,grup,kilo,fazla_kilo,ganyan,fark,gec_cikis_boy,cim_pist_agirlik,kosu_kodu,jokey_kodu,agf1_sira,saat,yas,en_iyi_derece,sonuc,agf2_sira,yaris_key,cim,kum_pist_agirlik,jokey_adi,sahip_adi,antrenor_adi
55,14,Az Bulutlu,2,cim,12,2884,false,false,SUAT MENTEŞ,25,07/05/2023,ŞARTLI 4,9,9953,31.97,1200,0.47.00-0.47.12,2,1.11.44,K5K8C2C4C1C2,<nil>,ADANA,true,51,Normal,9993e67c4c1e644bac62326e2ab9e7ce,GEL OGLİM,19,KG DB SK,db596bd96f539c4d4709c0be8c969740,3 Yaşlı İngilizler,56,0,"3,40",Yarım Boy,,3.3,202381,2710,<nil>,20:30,3y d  e,1.10.96,1,1,e95f05e6a8bb93281d2a9aad8b7404db,Normal,0,NİZAMETTİN DEMİR,SAVAŞ ERCÜMENT BECENE,MUHARREM SUSEN
,10,Az Bulutlu,9,kum,14,2866,false,false,HULUSİ SEMİH KOÇER,25,07/05/2023,Maiden,6,8491,1.29,1200,0.56.04-0.58.00,0,1.25.34,C9,<nil>,ADANA,true,51,Normal,760eeb702f4f42dd13db897bcccced22,SAADIN KASIRGASI,19,KG,cab24db2ba0a7d310f2410ae240548c3,3 Yaşlı Araplar,57,0.2,"8,40",3 Boy,,3.3,202372,1095,<nil>,21:00,3y d  e,,1,4,e95f05e6a8bb93281d2a9aad8b7404db,Normal,0,HALİL POLAT,ESEN KARANLIK,SERHAT POLAT
59,16,Çok Bulutlu,8,cim,10,327,false,false,ANADOLU TARIM İŞLETMELERİ,15,07/05/2023,Handikap 16,7,1239,<nil>,1600,0.52.88-0.54.00,0,1.46.16,K8K1K2K6K8K4,19.08,ISTANBUL,false,75,,77638099f8e15f767aaba120620bb4d2,EGETAY,16,KG,143acd2afda271c538ef2656bb2b9bc3,4 ve Yukarı Araplar,55,0.8,"3,55",Burun,,3.3,202379,864,1,14:00,5y k  a,1.48.16,2,<nil>,d304918f467fcdde59a828af6d2196a4,Normal,0,GÖKHAN KOCAKAYA,HASAN BAŞER,FAHRETTİN GEZİCİ
88,17,Az Bulutlu,1,cim,6,2440,false,false,LEVENT SARIKAYA,28,25/08/2025,ŞARTLI 5,1,1505,16.31,1200,0.44.41-0.45.42,4,1.10.77,C1C6C6C3C2C1,<nil>,BURSA,false,40,Normal,c957d49118b5b10a41e4920daa7cbf00,İSEN BUGA,20,KG K DB,ca677ab7b1188f95cd3f31555e3d818e,3 ve Yukarı İngilizler,58,0,"4,65",3 Boy,,3.3,219463,3054,<nil>,17:30,5y a a,1.10.30,4,3,2c86e2f32cc88a333e32aeb65b1739c5,Normal,0,ALİ MEHDİ ALTIN,LEVENT SARIKAYA,DILŞA KAYA
40,16,Açık,7,cim,9,847,false,false,SABRİ BEKTAŞ,30,15/08/2025,ŞARTLI 4,5,6933,11.91,1900,0.47.93-0.48.72,0,1.58.03,K7K4C1C5K4C7,12.95,ISTANBUL,true,40,Normal,8441400ed25a544986425ad0cfe500b3,SEMİNTOSH,17,K DB,d9b6fcf224858f8a67b7f5ba09331852,3 Yaşlı İngilizler,56,0,"9,60",1 Boy,,3.3,219253,958,4,19:00,3y d d,1.58.14,3,5,b9dbe9cf06b7a9f367f243db6ee1b43f,Normal,0,MÜSLÜM ÇELİK,SABRİ BEKTAŞ,SABRİ BEKTAŞ
55,15,Açık,1,cim,6,2768,false,false,FEVZİ YILMAZ,25,26/08/2025,ŞARTLI 5,1,13142,15.78,1400,0.47.41,0,1.25.90,C2K4C1C2C5C2,<nil>,ANKARA,false,44,Normal,08f408d4a3522d553bc6965f06e81333,WARRIOR MAN,18,DB SK,1b26d8d38311d4834e1515b75b4a61b9,2 Yaşlı İngilizler,60,0,"4,15",1 Boy,,3.3,219484,267,<nil>,17:30,2y d e,1.24.73,4,3,3ec190e4ef57dcd0d2196c086b163274,Normal,0,FERİT YARDIMCI,İBRAHİM HALİL YILDIZSOY,ARZU KILIÇ
89,7,Açık,4,cim,6,1452,false,true,HULUSİ SEMİH KOÇER,38,20/07/2025,KV-8,2,20683,1.56,1700,0.54.01,0,1.54.82,C7K4C9K3K8K3,2.09,IZMIR,true,22,Normal,760eeb702f4f42dd13db897bcccced22,SAADIN KASIRGASI,14,KG DB,71a5356103cd34ef8b23a2103aca9d6e,4 ve Yukarı Araplar,59,0,"9,75",11 Boy,4 Boy,3.3,218734,861,5,20:00,5y d a,2.03.06,4,5,45da5653bd8ae9ba8d36f0ccf42472d7,Normal,0,ALAATTİN KÜRÜNDÜK,FERAT ÖZKAN,ASYA ÖZMÜŞ
90,16,Çok Bulutlu,3,cim,8,458,false,false,SULTANSUYU TARIM İŞLETMELERİ,28,17/08/2025,ŞARTLI 4,8,7040,6.06,2100,0.53.15-0.53.39,3,2.26.32,K7C5K8C5K4C9,<nil>,ISTANBUL,false,46,Normal,78f72b239eaabe52a34133897663ff76,AĞA TURBO,13,KG DS,e9d9de54b67455212b7cafd52a017b34,4 ve Yukarı Araplar,59,0,"12,80",,,3.3,219316,2977,<nil>,17:30,6y a a,2.23.40,5,8,74c29e8a7a513db6f92325cf147a6be7,Normal,0,ENES BOZDAĞ,TARKAN HASAN ONAR,HALİS YILDIZ
71,18,Çok Bulutlu,5,cim,8,305,false,false,ANADOLU TARIM İŞLETMELERİ,28,17/08/2025,ŞARTLI 4,4,18584,6.44,2100,0.53.15-0.53.39,0,2.26.27,C4K2C7K2C4C4,<nil>,ISTANBUL,false,46,Normal,77638099f8e15f767aaba120620bb4d2,EGETAY,16,SK GKR,e9d9de54b67455212b7cafd52a017b34,4 ve Yukarı Araplar,60,0,"11,35",Boyun,,3.3,219316,94,<nil>,17:30,7y k a,2.23.48,4,7,74c29e8a7a513db6f92325cf147a6be7,Normal,0,AKIN SÖZEN,TOLGA ŞAHİN,ERGÜN USLU
66,23,Açık,1,sentetik,8,3002,false,false,RECEP HİKMET,29,22/08/2025,Handikap 16,7,20202,<nil>,2200,0.49.32-0.49.45,3,2.19.30,K8K5C1C3C1C1,10.31,ISTANBUL,true,38,Normal,4fb65a02e75caecbc4bcd61c640e2d9b,SON OF THE KNIFE,20,DB SK,f8d39b3a1869198b43877a599e95c54e,3 Yaşlı İngilizler,58.5,0,"8,65",Burun,,3.3,219404,3066,5,17:15,3y d e,,3,<nil>,81efbde8b67e0e55f23ddf60afbfa7b9,Normal,0,MURAT KEÇECİ,ERDOĞAN BIÇAK,YILMAZ ÖZTAŞ
