agf1,agf1_sira,saat,mesafe,fazla_kilo,jokey_kodu,handikap,kosmaz,agf2,sicaklik,nem,cim_pist_agirlik,at_adi,yas,jokey_adi,kgs,gec_cikis_boy,gece,tarih,at_key,son20,en_iyi_derece,fark,agf2_sira,hipodrom_key,yaris_kosu_key,kosu_kodu,kilo,sahip_kodu,son6,hava_durumu,kum,en_iyi_derece_farkli_hipodrom,yaris_key,cim,kum_pist_agirlik,no,grup,cins_detay,son800,start,pist,at_sayisi,sahip_adi,antrenor_adi,antrenor_kodu,taki,ganyan,yetistirici_adi,apranti_kilo_indirimi,sonuc,derece
4.91,7,16:30,1500,0,2385,67,false,<nil>,11,78,0,KOŞAN NUR,4y k k,MERTCAN ÇELİK,27,,false,04/12/2024,484c361675189095db40a6b66609dc72,17,1.42.68,1 Boy,<nil>,ISTANBUL,c60a1ab30a9bbfd55215bb7de2d4a76a,214081,60.5,10566,C3C2C1C2C4C4,Çok Bulutlu,Normal,false,413f0ffd9aba30b1adfc731578829d37,,0,3,4 ve Yukarı Araplar,Handikap 16,0.54.00-0.54.72,10,sentetik,11,AHMET KAYA,GÜVEN GÖKÇE,2654,KG DB SK,"11,40",KAYA DÜNYASI LTD.ŞTİ.,0,4,1.41.25
60.91,1,13:30,1400,1.5,1548,40,false,<nil>,8,73,0,DISTANCE RUNNER,2y d  e,HIŞMAN ÇİZİK,17,,false,02/12/2024,c3188d21505b8e53906bff92376e3a5d,20,1.28.50,5 Boy,<nil>,BURSA,6d6887b49497fee689e439f0a1b74c56,214042,55.5,499,C5C5C2K1,Çok Bulutlu,Normal,false,b5a806682d375d98ecc9d27f81641ed8,,0,2,2 Yaşlı İngilizler,Handikap 15,0.53.84-0.54.48,2,kum,5,AYŞEGÜL KURTEL,ONUR ÖZELCANAT,1291,KG DB SK,"1,20",MOZ.ORG.TAR.HAY.SAN.TİC.A.Ş.,0,3,1.32.65
59.03,1,15:00,1600,0,1337,46,false,<nil>,15,83,0,THESSALONIKI TALE,2y a  d,NEVZAT AVCİ,10,,false,01/12/2024,4a6445dd93909d4ec2d7aa0cafdd374a,20,,Burun,<nil>,IZMIR,0705baec99695d405e1d08584e84d6a5,214019,57.5,11593,C1C6K1,Yağmurlu,Nemli,false,bb79125f7b2ee5e7478756d062f362e4,,0,2,2 Yaşlı İngilizler,Handikap 14,0.51.84-0.51.32,4,kum,5,SACİT ÖZER,GÖKHAN ER,2530,DB SKG SK,"1,35",ALP ŞEMSETTİN EVCİMEN,0,1,1.42.42
2.89,10,16:30,1600,0,2495,96,false,3.19,15,83,0,DAYANIKLI TAY,4y a  a,ERHAN AKTUĞ,29,,false,01/12/2024,1c31873c9e7f11c424a0bfd0b04627b4,20,1.56.29,"1,5  Boy",10,IZMIR,d8838979361b68adbd05965c93dba80c,214030,58,7615,C2C1K3C2C4C8,Yağmurlu,Nemli,false,bb79125f7b2ee5e7478756d062f362e4,,0,8,4 ve Yukarı Araplar,G 3,0.55.36-0.53.84,2,kum,13,MEHMET ALİ AKDAĞ,HIDIR DURMUŞ,1507,,"22,45",KARACABEY TARIM İŞLETMELERİ,0,4,1.49.64
19.20,2,16:00,1400,0,1337,80,false,<nil>,15,55,0,MUĞLALI ADNAN,3y d  g,NEVZAT AVCİ,12,,false,28/11/2024,c118c39742d235c5f7626c07fef50a1a,20,,,<nil>,IZMIR,8c17cf34ae15f01db75d1b2781d270a7,213972,56.5,17457,C3C5C0C1C1K1,Açık,Normal,false,646cdfbba555ff2f13c246b8502fce3b,,0,5,3 ve Yukarı İngilizler,Handikap 21,0.50.52-0.49.72,2,kum,8,BUSE ŞAMLI,FAHRETTİN CEYLAN,2769,SKG SK,"3,25",BUSE ŞAMLI,0,5,1.28.60
0.54,8,13:30,1400,0,3,,true,<nil>,8,56,0,MR SHORTY,2y d  e,ÜMİT ÖZCAN,,,false,24/11/2024,9c50ef97b2b0a3fc7c926e7e313e0461,20,,,<nil>,IZMIR,068af1c3dc76606969ebf666581a24b9,213896,57,16972,,Açık,Normal,false,e00ba86e26cc5b807b563dff7ba34176,,0,2,2 Yaşlı İngilizler,ŞARTLI 1,0.53.72,3,kum,10,ŞEREF ERDİK,ZAFER TURĞUL,1027,KG K,,HASAN EŞTÜRKLER,0,<nil>,
1.93,10,15:30,1400,0,2708,,true,0.33,8,56,0,BLACK BREEZE,2y d  e,MUHAMMED MİR BİLGİN,,,false,24/11/2024,9d0db15f4b754617e4da9456d8506be7,20,,,10,IZMIR,03e1b8cf4b40c4fb1ef5c423c1c9d65a,213894,57,19819,,Açık,Normal,false,e00ba86e26cc5b807b563dff7ba34176,,0,1,2 Yaşlı İngilizler,ŞARTLI 1,0.53.52,4,kum,11,ULAŞ GÖKÇE,SEYİT GÖKÇE,1567,KG SK,,YOUSEF ARHIM,0,<nil>,
2.22,8,16:15,1400,2,2256,39,false,2.27,8,56,0,KIZIL GÖLGE,3y d  d,HALİL YOLAÇICI,8,,false,24/11/2024,f38ce72746e7493cea6684673cfc705f,16,,,8,IZMIR,0e051330c351fdb1adec79afc936fa8f,213903,50,286,K9C2C6K7C2K6,Açık,Normal,false,e00ba86e26cc5b807b563dff7ba34176,,0,8,3 Yaşlı İngilizler,Handikap 16,0.49.84-0.49.64,5,kum,9,ADEM ERDÖLEK,NURETTİN GÖNÜLTAŞ,2904,K,"16,70",ADEM ERDÖLEK,0,9,1.32.12
<nil>,<nil>,17:45,1400,0.5,1337,,false,21.02,8,56,0,OX STRIKE,2y d  d,NEVZAT AVCİ,,,false,24/11/2024,6a4d40901a0a02311e4cb79a52b62fa1,20,,Boyun,2,IZMIR,05a51608673e8d8b1735255a29f236ad,213895,55,499,,Açık,Normal,false,e00ba86e26cc5b807b563dff7ba34176,,0,9,2 Yaşlı İngilizler,ŞARTLI 1,0.59.96,8,kum,10,AYŞEGÜL KURTEL,BEGÜM GÜL,1704,SK,"4,10",MOZ.ORG.TAR.HAY.SAN.TİC.A.Ş.,0,3,1.30.25
<nil>,<nil>,17:45,1400,0,2495,,false,10.84,8,56,0,HASAN DAĞI,2y a  e,ERHAN AKTUĞ,,,false,24/11/2024,db9954cb5cebc1161587f1083a5ca6b8,20,,4 Boy,4,IZMIR,05a51608673e8d8b1735255a29f236ad,213895,57,7367,,Açık,Normal,false,e00ba86e26cc5b807b563dff7ba34176,,0,4,2 Yaşlı İngilizler,ŞARTLI 1,0.59.96,7,kum,10,ALİ ÇELİK;,ŞAKİR ÇELİK,470,,"7,65",ALİ ÇELİK,0,4,1.30.28
