yetistirici_adi,gec_cikis_boy,hipodrom_key,gece,hava_durumu,tarih,grup,cins_detay,son6,agf1_sira,kum_pist_agirlik,mesafe,son800,sahip_adi,sahip_kodu,en_iyi_derece,ganyan,fark,pist,at_sayisi,at_adi,kilo,apranti_kilo_indirimi,jokey_kodu,antrenor_adi,en_iyi_derece_farkli_hipodrom,cim_pist_agirlik,saat,start,fazla_kilo,antrenor_kodu,son20,sonuc,derece,cim,handikap,agf1,agf2,agf2_sira,yaris_key,at_key,kosmaz,nem,yaris_kosu_key,kosu_kodu,jokey_adi,sicaklik,kum,no,yas,kgs,taki
KORAY ÖZERK,,BURSA,false,Açık,11/08/2025,3 ve Yukarı İngilizler,ŞARTLI 3,C4K6K0K6C4C4,6,0,1300,0.45.82,KORAY ÖZERK,15525,1.18.72,"22,05",,cim,8,TRIPLE AZAREKS,57,0,2697,ENES KARACA,false,3.3,15:00,3,0,2583,14,7,1.17.07,Normal,60,4.00,<nil>,<nil>,c2ccdbc96776e5fc901eefed1bb5fd32,c93058f4ecb0ffc860eebe605ef3cd0d,false,27,532124f0811e8548e5f83257db3708c3,219170,CEMAL PASO,32,Normal,5,4y d a,42,SK ÖG
SULTANSUYU TARIM İŞLETMELERİ,,DIYARBAKIR,true,Çok Bulutlu,29/04/2023,4 Yaşlı Araplar,ŞARTLI 4,K4K1K2K7K7K8,5,0,1900,1.05.60-1.06.32,SONGÜL NARİN,18038,2.22.52,"6,50",,kum,8,KILIÇBAĞI,55,0,2331,MEHMET ASLAN,true,0,22:00,6,1.6,2822,16,6,2.38.49,,41,8.55,<nil>,<nil>,7bc70e25911f774520b7ee740f7f45fd,403121bfa1c1a2c4c9e2f036129cfc0e,false,53,d07d9852f884f26aeb184e0d06dd797b,202182,MUHAMMED BARAN ÇAKMAK,16,Normal,5,4y a  a,5,KG DB
FETHİ ÇİZİK,,DIYARBAKIR,true,Çok Bulutlu,29/04/2023,4 ve Yukarı Araplar,Handikap 15,K6K0K0K2K3K9,3,0,1900,1.06.04,FETHİ ÇİZİK,12276,2.23.92,"2,55",,kum,9,YILMABABA,61,2,2716,ZEKERİYA AKDEMİR,true,0,22:30,2,0,2867,13,9,2.54.99,,52,16.15,<nil>,<nil>,7bc70e25911f774520b7ee740f7f45fd,2c41220b4f4f6623d4ad6b7e4f6bbe57,false,53,42d469be035bce0d101b16106c444dcb,202184,YUNUS ÇELİKBAŞ,16,Normal,1,5y k  a,33,KG SK
İBRAHİM AKIL,,ELAZIG,true,Az Bulutlu,27/09/2023,3 Yaşlı Araplar,Maiden,K9,6,0,1200,0.59.48-1.00.95,MEHMET TAHİR AKIL,13640,,"10,10",,kum,11,BENZEMA,57,0,1504,VELİ ÇİZİK,false,0,19:30,4,0,2547,19,9,1.34.43,,,3.45,<nil>,<nil>,e9e489a1712e72fffed8852fe2b2312f,681b35ea17ae5f2be4f4eaa3109c3c7c,false,14,ea78c4dc215e94fd76e025f9ea0f1cef,205332,İSA KATAR,33,Normal,4,3y k  e,85,KG DB SK
SERVET AKKUŞ,,ADANA,true,Açık,24/09/2023,4 ve Yukarı Araplar,ŞARTLI 3,C4K3K4K6C3C8,4,0,1800,0.55.04,FERHAT BİNİCİ,12040,2.06.99,"7,95",,cim,11,GÖKKARA,61,0,2703,YUNUS TUNCAY,false,3.3,17:15,4,0,2506,15,5,2.05.00,Normal,45,8.55,<nil>,<nil>,d6b0bd47a309353fa9ed5e8933937ce4,855ed1ae443f9a5dc94430097ee6f114,false,61,4eb1552868da9bb46ed950e871cd0938,205294,İSMAİL YILDIRIM,33,Normal,1,4y k  a,21,DB
KARACABEY TARIM İŞLETMELERİ,,ELAZIG,true,Açık,20/09/2023,4 ve Yukarı Araplar,Handikap 13,C0K9K6K0K4K2,2,0,1200,1.00.08-1.00.52,MAHMUT KARAKEÇİLİ,15304,1.27.79,"2,60",,kum,10,GECE IŞIĞI,61,0,1504,VELİ ÇİZİK,true,0,21:00,4,0,2547,9,5,1.29.87,,32,21.11,<nil>,<nil>,ce9783d145832ea757a348246534f918,9c8c74d042e9828a0d3d9b4b8dde7873,false,18,b810d8dd31dd0067e2f6dcc730a23488,205206,İSA KATAR,31,Normal,4,4y k  a,14,DB SK
HÜSEYİN KAYA,,ADANA,false,Çok Bulutlu,25/04/2023,4 ve Yukarı Araplar,ŞARTLI 4,K2C7K2K7C4K4,7,0,2100,0.53.00-0.53.52,HÜSEYİN KAYA,10019,2.30.47,"14,65",,cim,10,PALA SALİH,58.5,2,2710,YUSUF ÇANKAYA,false,3.3,14:00,7,0,2870,15,5,2.24.96,Normal,71,2.75,<nil>,<nil>,ad42ee0cece58ae6dcdb5d47d3dc4004,337f7fcfad615dedee83544f08e00a3b,false,47,f0b446d4f44fa9ec8b7cf87d91e500f9,202109,NİZAMETTİN DEMİR,24,Normal,2,8y k  a,9,
SULTANSUYU TARIM İŞLETMELERİ,,SANLIURFA,true,Az Bulutlu,24/04/2023,4 Yaşlı Araplar,Handikap 15,K1K4K1K2K7K7,3,0,1900,1.02.80-1.03.16,SONGÜL NARİN,18038,2.22.52,"4,80",,kum,12,KILIÇBAĞI,57,0,1504,MEHMET ASLAN,false,0,19:00,3,0,2822,17,8,2.35.31,,41,13.20,<nil>,<nil>,2bd0b9f1b15858a59bc1322136c9396c,403121bfa1c1a2c4c9e2f036129cfc0e,false,27,69f512bf625bc971e6ea0187a073994e,202084,İSA KATAR,24,Normal,6,4y a  a,27,KG
SERVET AKKUŞ,,ADANA,true,Açık,23/04/2023,4 Yaşlı Araplar,Handikap 15,K1C8K8K1K5C2,<nil>,0,2000,0.54.40,MEHMET YAVUZ,6869,,"4,25",,cim,12,GÖKKARA,59,0,2493,BAHAR GÖK,false,3.3,20:00,2,0,1317,18,7,2.20.63,Normal,45,<nil>,15.17,2,ae581b97f5c7652422f52966a77071cd,855ed1ae443f9a5dc94430097ee6f114,false,39,9e540e909c1de799ad052ba742db4685,202066,ERCAN ÇANKAYA,29,Normal,2,4y k  a,12,KG DB
YASEMİN TOPÇU,,BURSA,false,Açık,25/07/2025,2 Yaşlı İngilizler,ŞARTLI 3,C2K5C4,4,0,1300,0.47.86-0.48.05,HAKAN GÜNDOĞMUŞ,14051,1.20.30,"7,85",Boyun,cim,6,SON OF STAR,54,0,2369,FERHAT ALTIN,false,3.3,15:00,4,1,2885,17,4,1.20.95,Normal,30,7.28,<nil>,<nil>,69b4e224cccc0016b4bb9cf03137c4bd,7596c0c0cb61d6c44594940b98b16578,false,40,e18e27fc3a4aa9889b01129b76cd19cb,218816,BEKİR MERT MIRIK,34,Normal,6,2y d e,11,KG
